,,,,,,,Relies on,,,,,,,,,,,,Modifies,,,,,,,,,,,
0xB9,"LDA $0000,Y",3,4,No,Yes,Yes,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0xBA,TSX,1,2,No,Yes,Yes,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N
0xBB,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xBC,"LDY $0000,X",3,4,No,Yes,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N
0xBD,"LDA $0000,X",3,4,No,Yes,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0xBE,"LDX $0000,Y",3,4,No,Yes,Yes,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N
0xBF,"BBS3 $00,$0000",3,5,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xC0,CPY #$00,2,2,No,Yes,Yes,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xC1,"CMP ($00,X)",2,6,No,Yes,Yes,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xC2,NOP #$00,2,2,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xC3,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0xC4,CPY $00,2,3,No,Yes,Yes,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xC5,CMP $00,2,3,No,Yes,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xC6,DEC $00,2,5,No,No,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N
0xC7,SMB4 $00,2,5,No,Yes,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
0xC8,INY,1,2,No,No,Yes,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N
0xC9,CMP #$00,2,2,No,Yes,Yes,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y
0xCA,DEX,1,2,No,No,Yes,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N
